id,species_latin,species_norsk,autorstreng,native,alien
ef5c8fb8-ff11-11ea-aa56-48df374274e0,Acer palmatum,NA,NA,NA,NA
95487b5e-2200-11e8-8b3b-001cc4ddf696,Acer platanoides,Spisslønn,NA,TRUE,FALSE
95487f00-2200-11e8-8b3b-001cc4ddf696,"Aethusa cynapium ssp. cynapium
",Ugraspersille,NA,TRUE,FALSE
954880c2-2200-11e8-8b3b-001cc4ddf696,Agrostis canina,hundekvein,NA,TRUE,FALSE
9548827a-2200-11e8-8b3b-001cc4ddf696,Agrostis capillaris,engkvein,NA,TRUE,FALSE
9548843c-2200-11e8-8b3b-001cc4ddf696,Agrostis gigantea,storkvein,NA,TRUE,FALSE
e9070ec4-c0b9-11e8-90a6-001cc4ddf696,Agrostis nebulosa,NA,NA,FALSE,TRUE
954887d4-2200-11e8-8b3b-001cc4ddf696,Agrostis stolonifera,krypkvein,NA,TRUE,FALSE
ef5c8fba-ff11-11ea-aa56-48df374274e0,Allium senescens,NA,NA,NA,NA
95488996-2200-11e8-8b3b-001cc4ddf696,Alnus incana,gråor,NA,TRUE,FALSE
3d7398e4-a995-11eb-9ab7-48df374274e0,Aloe vera,NA,NA,FALSE,TRUE
954a0e9c-2200-11e8-8b3b-001cc4ddf696,Amaranthus,Amarantslekta,NA,TRUE,FALSE
95488b58-2200-11e8-8b3b-001cc4ddf696,Amaranthus blitum,blyamarant,NA,FALSE,TRUE
097cdd14-c0ba-11e8-90a6-001cc4ddf696,Amaranthus hybridus,Topparamant,NA,FALSE,TRUE
194cab0e-c176-11e8-b20c-001cc4ddf696,Amaranthus palmeri,Soyaamarant,NA,TRUE,FALSE
cffe3824-c174-11e8-b20c-001cc4ddf696,Amaranthus retroflexus,Duskamarant,NA,TRUE,FALSE
95489288-2200-11e8-8b3b-001cc4ddf696,Amaranthus viridis,smalamarant,NA,FALSE,TRUE
0273f2a2-bc08-11e8-8f34-001cc4ddf696,Anisodontea,NA,NA,TRUE,FALSE
251b9512-bcb7-11e8-b92b-001cc4ddf696,Anisodontea elegans,NA,NA,TRUE,FALSE
ef5c8fbc-ff11-11ea-aa56-48df374274e0,Antirrhinum majus,NA,NA,NA,NA
0b2abc88-bcd4-11e8-b049-001cc4ddf696,Arabidopsis thaliana,NA,NA,TRUE,FALSE
95485f48-2200-11e8-8b3b-001cc4ddf696,Arabis hirsuta ssp. hirsuta,Lønn,NA,TRUE,FALSE
0de082a4-024c-11eb-aa56-48df374274e0,Araujia sericifera,NA,NA,NA,NA
954897d8-2200-11e8-8b3b-001cc4ddf696,Argyranthemum frutescens,Margeritt,NA,TRUE,FALSE
658023e4-a98a-11eb-9ab7-48df374274e0,Asparagus falcatus,NA,NA,FALSE,TRUE
acac9aa4-a98f-11eb-9ab7-48df374274e0,Astilbe,NA,NA,FALSE,TRUE
ef5c8fbe-ff11-11ea-aa56-48df374274e0,Astrantia,NA,NA,NA,NA
b192eda6-a98b-11eb-9ab7-48df374274e0,Bergenia,NA,NA,NA,NA
95489b52-2200-11e8-8b3b-001cc4ddf696,Betula pendula,hengebjørk,NA,TRUE,FALSE
95489d0a-2200-11e8-8b3b-001cc4ddf696,Bidens pilosa,tiggerbrønsle,NA,FALSE,TRUE
8e2f992a-bcb4-11e8-b92b-001cc4ddf696,Boronia heterophylla,NA,NA,TRUE,FALSE
ef5c8fc0-ff11-11ea-aa56-48df374274e0,Bougainvillea,NA,NA,NA,NA
e127ef24-c0ba-11e8-90a6-001cc4ddf696,Buddleja davidii,NA,NA,FALSE,TRUE
9548a098-2200-11e8-8b3b-001cc4ddf696,Buxus sempervirens,Buksbom,NA,TRUE,FALSE
adbae9cc-c0b8-11e8-90a6-001cc4ddf696,Calamagrostis epigejos,NA,NA,TRUE,FALSE
9548a41c-2200-11e8-8b3b-001cc4ddf696,Calamagrostis phragmitoides,skogrørkvein,NA,TRUE,FALSE
9548a7e6-2200-11e8-8b3b-001cc4ddf696,Calluna vulgaris,Røsslyng,NA,TRUE,FALSE
ef5c8fc2-ff11-11ea-aa56-48df374274e0,Campanula persicifolia,NA,NA,NA,NA
2a395e18-a98f-11eb-9ab7-48df374274e0,Campanula portenschlagiana,NA,NA,FALSE,TRUE
9548a9a8-2200-11e8-8b3b-001cc4ddf696,Capsella bursa-pastoris,gjetertaske,NA,TRUE,FALSE
9548ab60-2200-11e8-8b3b-001cc4ddf696,Caragana arborescens,Sibirertebusk,NA,TRUE,FALSE
9548ad22-2200-11e8-8b3b-001cc4ddf696,Cardamine hirsuta,rosettkarse,NA,TRUE,FALSE
95487910-2200-11e8-8b3b-001cc4ddf696,Cardamine pratensis,Viftelønn,NA,TRUE,FALSE
1a9c6f8a-a995-11eb-9ab7-48df374274e0,Carex,NA,NA,NA,NA
9548aeee-2200-11e8-8b3b-001cc4ddf696,Carex canescens,gråstarr,NA,TRUE,FALSE
95487d34-2200-11e8-8b3b-001cc4ddf696,Carex cf. rostrata,Flaskestarr,NA,TRUE,FALSE
4c16f66a-bc04-11e8-97e0-001cc4ddf696,Carex rostrata,Flaskestarr,NA,TRUE,FALSE
0de082a6-024c-11eb-aa56-48df374274e0,Carex spicata,NA,NA,NA,NA
9548b0b0-2200-11e8-8b3b-001cc4ddf696,Carpinus betulus,Agnbøk,NA,TRUE,FALSE
9548b434-2200-11e8-8b3b-001cc4ddf696,Cerastium fontanum,arve,NA,TRUE,FALSE
b6e34494-bc04-11e8-97e0-001cc4ddf696,Cerastium fontanum ssp. vulgare,NA,NA,TRUE,FALSE
9548b5f6-2200-11e8-8b3b-001cc4ddf696,Cerastium glomeratum,veiarve,NA,TRUE,FALSE
9548b7c2-2200-11e8-8b3b-001cc4ddf696,Cercidiphyllum japonicum,Hjertetre,NA,TRUE,FALSE
9548b984-2200-11e8-8b3b-001cc4ddf696,Chaenorhinum minus,småtorskemunn,NA,FALSE,TRUE
f0f1e5f6-bc08-11e8-8f34-001cc4ddf696,Chamaecyparis lawsonia,NA,NA,TRUE,FALSE
9548bd30-2200-11e8-8b3b-001cc4ddf696,Chamaecyparis lawsoniana,Lawsonsypress,NA,TRUE,FALSE
5ab49144-a98e-11eb-9ab7-48df374274e0,Chamaerops humilis,NA,NA,FALSE,TRUE
