container,subsample,locality,date_sampled,date_in,date_out,netting_type,species_latin,plant_comment,wet_volume,wet_weight,dry_volume,dry_weight,exporter,country,transport_type,pdf_present,mattilsynet,comment_certificate,oh_recieved,container_weight,number_of_articles,number_of_species,number_total,volume_per_crate,comment_contents
62,1,Primaflor,4/20/2017,4/20/2017,4/24/2017,G,Rhododendron,,1,399,1,126,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,2,Primaflor,4/20/2017,4/20/2017,4/24/2017,F,Rhododendron,,1,454,0.95,123,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,3,Primaflor,4/20/2017,4/20/2017,4/24/2017,F,Rhododendron,,1,305,0.8,118,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,4,Primaflor,4/20/2017,4/20/2017,4/24/2017,F,Rhododendron,,1,387,0.75,133,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,5,Primaflor,4/20/2017,4/20/2017,4/24/2017,G,Rhododendron,,1,332,0.75,131,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,6,Primaflor,4/20/2017,4/20/2017,4/24/2017,G,Rhododendron,,1,293,0.75,100,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,7,Primaflor,4/20/2017,4/20/2017,4/24/2017,F,Rhododendron,,1,343,0.7,133,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,8,Primaflor,4/20/2017,4/20/2017,4/24/2017,F,Rhododendron,,1,408,0.75,98,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,9,Primaflor,4/20/2017,4/20/2017,4/24/2017,G,Rhododendron,,1,401,0.8,96,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
62,10,Primaflor,4/20/2017,4/20/2017,4/24/2017,G,Rhododendron,,1,351,75,110,Jules Block,Belgia,Båt,-1,-1,,,,2497,1,2497,,
63,1,Primaflor,4/24/2017,4/24/2017,4/24/2017,G,Solanum rantonnetii,,1,401,0.8,116,Gasa Germany,Tyskland,Bil,-1,-1,"Bil ankom 23.04.2017, to sertifikater",,,792,19,2785,,
63,2,Primaflor,4/24/2017,4/24/2017,4/24/2017,G,Olea europaea,,1,855,0.75,566,Az. Viv. ALESCI SEBASTIANO,Italia,Bil,-1,-1,"Bil ankom 23.04.2017, to sertifikater",,,746,19,2785,,
63,3,Primaflor,4/24/2017,4/24/2017,4/24/2017,F,Solanum rantonnetii,,1,460,0.85,129,Gasa Germany,Tyskland,Bil,-1,-1,"Bil ankom 23.04.2017, to sertifikater",,,792,19,2785,,
63,4,Primaflor,4/24/2017,4/24/2017,4/24/2017,F,Callistemon laevis,,1,439,0.7,166,Gasa Germany,Tyskland,Bil,-1,-1,"Bil ankom 23.04.2017, to sertifikater",,,66,19,2785,,
63,5,Primaflor,4/24/2017,4/24/2017,4/24/2017,G,Olea europaea,,1,808,0.75,333,Az. Viv. ALESCI SEBASTIANO,Italia,Bil,-1,-1,"Bil ankom 23.04.2017, to sertifikater",,,746,19,2785,,
63,6,Primaflor,4/24/2017,4/24/2017,4/24/2017,G,Solanum rantonnetii,,1,426,0.75,117,Gasa Germany,Tyskland,Bil,-1,-1,"Bil ankom 23.04.2017, to sertifikater",,,792,19,2785,,
