"species_latin","ev_nytt_navn","latinsknavnid","stadium","indetermined","alien","blacklist_cat","native","last_updated"
"Acari spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Acrotona cf. fungi","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Acrotona cf. negligens","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Acrotona cf. parens","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Acrotona exigua","",11529,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Acrotona orbata","",125315,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Acrotona sp. A","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Acrotona sp. B","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Acrotona sp. C","",,"adult",f,f,"",f,"2018-10-05 08:52:35.220014"
"Acrotrichis henrici","",11283,"adult",f,f,"",f,"2018-10-05 08:54:47.354805"
"Acrotrichis sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Acupalpus brunnipes","",5365,"adult",f,f,"",f,"2018-10-05 08:56:18.815795"
"Acupalpus meridianus","",5371,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Acupalpus parvulus","",5372,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Acupalpus sp.","",,"adult",f,f,"",f,"2018-10-05 08:57:14.669928"
"Adalia decempunctata","",7447,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Adistemia watsoni","",7881,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Agathidium marginatum","",11184,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Aleochara  cf. bipustulata","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Aleocharinae sp. A","",,"adult",t,t,"",f,"2018-06-26 10:18:18.509006"
"Aleocharinae sp. B","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
