"species_latin","ev_nytt_navn","latinsknavnid","indetermined","alien","blacklist_cat","native","last_updated"
"Acer platanoides","",103559,"","","","","2018-03-09 12:32:27.593568"
"Aethusa cynapium cf. ssp. cynapium","",100254,"","","","","2018-03-09 12:32:27.593568"
"Agrostis canina","",99866,"","","","","2018-03-09 12:32:27.593568"
"Agrostis capillaris","",99867,"","","","","2018-03-09 12:32:27.593568"
"Agrostis gigantea","",99868,"","","","","2018-03-09 12:32:27.593568"
"Agrostis nebulosa","",,"","","","","2018-09-25 13:55:34.583436"
"Agrostis stolonifera","",99871,"","","","","2018-03-09 12:32:27.593568"
"Alnus incana","",102132,"","","","","2018-03-09 12:32:27.593568"
"Amaranthus","",,"","","","","2018-09-20 14:35:09.663382"
"Amaranthus blitum","",101345,"","","","","2018-03-09 12:32:27.593568"
"Amaranthus cf. hybridus","",,"","","","","2018-09-25 13:56:29.042568"
"Amaranthus cf. palmeri","",,"","","","","2018-09-25 14:04:04.304275"
"Amaranthus cf. retroflexus","",,"","","","","2018-09-25 14:09:03.695364"
"Amaranthus palmeri","",101354,"","","","","2018-09-26 12:22:40.955457"
"Amaranthus retroflexus","",101356,"","","","","2018-09-26 12:13:28.470952"
"Amaranthus viridis","",101358,"","","","","2018-03-09 12:32:27.593568"
"Anisodontea","",,"","","","","2018-09-20 10:44:32.740698"
"Anisodontea elegans","",,"","","","","2018-09-20 14:02:50.064583"
"Arabis hirsuta ssp. hirsuta","",101088,"","","","","2018-09-20 14:49:26.901999"
"Arabis thaliana","",,"","","","","2018-09-20 14:52:34.123641"
"Argyranthemum frutescens","",100425,"","","","","2018-03-09 12:32:27.593568"
"Betula pendula","",102139,"","","","","2018-03-09 12:32:27.593568"
"Bidens pilosa","",100456,"","","","","2018-03-09 12:32:27.593568"
"Boronia heterophylla","",,"","","","","2018-09-20 14:02:50.064583"
"Buddleia davidii","",,"","","","","2018-09-25 14:02:30.873844"
"Buxus sempervirens","",101335,"","","","","2018-03-09 12:32:27.593568"
"Calamagrostis epigejos","",99954,"","","","","2018-09-25 13:46:45.602103"
"Calamagrostis phragmitoides","",99961,"","","","","2018-03-09 12:32:27.593568"
"Calluna vulgaris","",101775,"","","","","2018-03-09 12:32:27.593568"
"Capsella bursa-pastoris","",101142,"","","","","2018-03-09 12:32:27.593568"
"Caragana arborescens","",101907,"","","","","2018-03-09 12:32:27.593568"
"Cardamine hirsuta","",101148,"","","","","2018-03-09 12:32:27.593568"
"Cardamine pratensis","",101151,"","","","","2018-09-26 10:45:29.276259"
"Carex canescens","",99630,"","","","","2018-03-09 12:32:27.593568"
"Carex cf. canescens","",,"","","","","2018-11-11 14:11:49.989317"
"Carex cf. rostrata","",,"","","","","2018-09-20 14:49:26.901999"
"Carex rostrata","",99718,"","","","","2018-09-20 14:49:26.901999"
"Carpinus betulus","",102146,"","","","","2018-03-09 12:32:27.593568"
"Cerastium cf. fontanum","",,"","","","","2018-09-20 14:49:26.901999"
"Cerastium fontanum","",101469,"","","","","2018-03-09 12:32:27.593568"
"Cerastium glomeratum","",101473,"","","","","2018-03-09 12:32:27.593568"
"Cercidiphyllum japonicum","",103570,"","","","","2018-03-09 12:32:27.593568"
"Chaenorhinum minus","",102495,"","","","","2018-03-09 12:32:27.593568"
"Chamaecyparis lawsonia","",,"","","","","2018-09-19 14:39:23.35101"
"Chamaecyparis lawsoniana","",103781,"","","","","2018-03-09 12:32:27.593568"
"Chenopodiastrum murale","",145679,"","","","","2018-03-09 12:32:27.593568"
"Chenopodium album","",101389,"","","","","2018-03-09 12:32:27.593568"
"Chenopodium ambrosioides","",101390,"","","","","2018-09-26 11:08:27.241683"
"Chenopodium botrys","",101395,"","","","","2018-09-26 11:09:32.712597"
"Chenopodium ficifolium","",101397,"","","","","2018-03-09 12:32:27.593568"
"Chenopodium glaucum","",101400,"","","","","2018-09-20 14:49:26.901999"
"Chenopodium hircinum","",101401,"","","","","2018-03-09 12:32:27.593568"
"Chenopodium polyspermum","",101408,"","","","","2018-03-09 12:32:27.593568"
"Cirsium arvense","",100513,"","","","","2018-09-20 14:53:13.624597"
"Cirsium vulgare","",100518,"","","","","2018-03-09 12:32:27.593568"
"Claytonia perfoliata","",101625,"","","","","2018-03-09 12:32:27.593568"
"Claytonia sibirica","",101626,"","","","","2018-03-09 12:32:27.593568"
"Clematis tangutica","",103104,"","","","","2018-03-09 12:32:27.593568"
"Conyza canadensis","",100521,"","","","","2018-03-09 12:32:27.593568"
"Conyza sumatrensis","",100522,"","","","","2018-09-26 12:03:46.62367"
"Cordyline","",,"","","","","2018-09-20 14:02:50.064583"
"Coronopus didymus","",101171,"","","","","2018-03-09 12:32:27.593568"
"Corylus avellana","",102150,"","","","","2018-03-09 12:32:27.593568"
"Crepis tectorum","",100544,"","","","","2018-03-09 12:32:27.593568"
"Cruciata cf. laevipes","",,"","","","","2018-09-25 13:48:08.853577"
"Cuphea hyssopifolia","",,"","","","","2018-09-20 14:02:50.064583"
"Cystopteris fragilis","",103928,"","","","","2018-03-09 12:32:27.593568"
"Cytisus scoparius","",101925,"","","","","2018-03-09 12:32:27.593568"
"Daucus carota ssp. carota","",100313,"","","","","2018-03-09 12:32:27.593568"
"Delphinium","",,"","","","","2018-09-19 14:59:48.586413"
"Deschampsia cespitosa ssp. cespitosa","",99989,"","","","","2018-03-09 12:32:27.593568"
"Digitaria ischaemum","",99995,"","","","","2018-03-09 12:32:27.593568"
"Digitaria sanguinalis","",99996,"","","","","2018-03-09 12:32:27.593568"
"Dittrichia viscosa","",,"","","","","2018-09-25 14:03:37.693074"
"Draba muralis","",101201,"","","","","2018-03-09 12:32:27.593568"
"Draba verna","",101209,"","","","","2018-03-09 12:32:27.593568"
"Drymocallis rupestris","",103305,"","","","","2018-03-09 12:32:27.593568"
"Echinochloa","",,"","","","","2018-09-20 14:49:26.901999"
"Echinochloa crus-galli","",100002,"","","","","2018-03-09 12:32:27.593568"
"Eclipta prostrata","",,"","","","","2018-09-25 13:54:52.518117"
"Eleusine indica ssp. africana","",100005,"","","","","2018-03-09 12:32:27.593568"
"Epilobium ciliatum","",102836,"","","","","2018-03-09 12:32:27.593568"
"Epilobium ciliatum ssp. ciliatum","",102836,"","","","","2018-09-20 14:49:26.901999"
