container,subsample,species_latin,amount
62,1,Mesaphorura yosii,44
62,1,Murcrosomia garretti,24
62,1,Proisotoma minuta,16
62,1,Proisotoma subminuta,4
62,1,Parisotoma notabilis,4
62,1,Lepidocyrtus pallidus,4
62,2,Micraphorura absoloni,1
62,2,Mesaphorura yosii,18
62,2,Parisotoma notabilis,25
62,2,Lepidocyrtus pallidus,2
62,3,Mesaphorura yosii,102
62,3,Parisotoma notabilis,10
62,3,Lepidocyrtus pallidus,3
62,4,Mesaphorura yosii,4
62,4,Parisotoma notabilis,1
62,4,Lepidocyrtus pallidus,1
62,5,Mesaphorura yosii,2
62,5,Parisotoma notabilis,1
62,6,Mesaphorura yosii,104
62,6,Parisotoma notabilis,32
62,7,Mesaphorura yosii,1
62,8,Micraphorura absoloni,4
62,8,Mesaphorura yosii,80
62,8,Parisotoma notabilis,168
62,8,Megalothorax minimus,4
62,9,Mesaphorura yosii,172
62,9,Proisotoma subminuta,4
62,9,Parisotoma notabilis,116
62,9,Lepidocyrtus pallidus,4
62,9,Megalothorax minimus,12
62,10,Mesaphorura yosii,44
62,10,Parisotoma notabilis,12
63,1,Ceratophysella sp. juv.,4
63,1,Proisotoma minuta,404
63,1,Lepidocyrtus pallidus,96
63,2,Mesaphorura macrochaeta,16
63,2,Folsomides centralis,64
63,2,Hemisotoma thermophila,96
63,2,Isotomurus maculatus,16
63,3,Ceratophysella engadinensis,8
63,3,Proisotoma minuta,1280
63,3,Hemisotoma thermophila,120
63,3,Lepidocyrtus pallidus,64
63,4,Xenylla grisea,64
63,4,Thalassaphorura encarpata,448
63,4,Mesaphorura yosii,128
63,4,Folsomides parvulus,48
63,4,Folsomides centralis,848
63,4,Folsomina onychiurina,48
63,4,Isotomurus sp. juv.,144
63,4,Lepidocyrtus pallidus,16
63,5,Thalassaphorura encarpata,16
63,5,Mesaphorura yosii,8
63,5,Folsomides centralis,121
63,5,Hemisotoma thermophila,20
63,5,Isotomurus sp. juv.,4
63,5,Lepidocyrtus pallidus,4
63,6,Proisotoma minuta,140
63,6,Lepidocyrtus pallidus,108
63,7,Mesaphorura yosii,4
63,7,Proisotoma minuta,280
63,7,Lepidocyrtus pallidus,136
63,8,Proisotoma subminuta,8
63,8,Hemisotoma thermophila,88
63,8,Entomobrya sp.,4
63,9,Xenylla grisea,32
63,9,Xenylla mediterranea,8
63,9,Micranurida pygmaea,8
63,9,Thalassaphorura encarpata,232
63,9,Mesaphorura yosii,48
63,9,Folsomides centralis,288
63,9,Folsomina onychiurina,24
63,9,Isotomurus pseudopalustris,224
63,9,Entomobrya sp.,8
63,9,Lepidocyrtus pallidus,8
63,10,Ceratophysella sp. juv.,4
63,10,Thalassaphorura encarpata,12
63,10,Hemisotoma thermophila,140
63,10,Entomobrya sp.,4
63,10,Lepidocyrtus pallidus,4
64,1,Ceratophysella engadinensis,104
64,1,Ceratophysella gibbosa,56
64,1,Xenylla welchi,4
64,1,Proisotoma minuta,60
64,1,Isotomurus pseudopalustris,12
64,1,Isotomurus sp. juv.,252
64,1,Entomobrya sp.,12
64,1,Lepidocyrtus pallidus,8
64,2,Ceratophysella gibbosa,1
64,2,Mesaphorura yosii,3
64,2,Proisotoma minuta,5
64,2,Hemisotoma thermophila,4
64,2,Isotomurus sp. juv.,1
64,2,Entomobrya sp.,1
64,2,Lepidocyrtus pallidus,1
64,3,Ceratophysella gibbosa,16
64,3,Hemisotoma thermophila,1136
64,3,Entomobrya sp.,16
64,4,Ceratophysella engadinensis,16
64,4,Thalassaphorura encarpata,1952
64,4,Mesaphorura macrochaeta,16
64,4,Mesaphorura yosii,64
64,4,Hemisotoma thermophila,416
64,4,Isotomurus sp. juv.,16
64,4,Pseudosinella sp.,16
64,4,Entomobrya sp.,48
64,5,Thalassaphorura encarpata,12
64,5,Mesaphorura macrochaeta,4
64,5,Mesaphorura simoni,4
64,5,Folsomides parvulus,4
64,5,Hemisotoma thermophila,20
64,5,Isotomurus pseudopalustris,16
64,5,Entomobrya sp.,4
64,6,Ceratophysella gibbosa,2
64,6,Hemisotoma thermophila,2
64,6,Entomobrya sp.,4
64,6,Lepidocyrtus pallidus,2
64,7,Ceratophysella gibbosa,2
64,7,Mesaphorura simoni,18
64,7,Mesaphorura yosii,6
64,7,Proisotoma minuta,2
64,7,Hemisotoma thermophila,22
64,7,Entomobrya sp.,10
64,8,Thalassaphorura encarpata,72
64,8,Folsomides parvulus,72
64,8,Hemisotoma thermophila,132
64,8,Isotomurus sp. juv.,32
64,8,Entomobrya sp.,20
64,9,Ceratophysella gibbosa,30
64,9,Willemia intermedia,2
64,9,Mesaphorura macrochaeta,2
64,9,Mesaphorura yosii,4
64,9,Proisotoma minuta,68
64,9,Hemisotoma thermophila,106
64,10,Proisotoma minuta,2
64,10,Hemisotoma thermophila,4
64,10,Entomobrya sp.,2
65,1,Ceratophysella sp. juv.,2
65,1,Thalassaphorura encarpata,6
65,1,Micraphorura absoloni,8
65,1,Mesaphorura macrochaeta,6
65,1,Parisotoma notabilis,340
65,1,Isotomurus palustris,140
65,2,Isotomurus palustris,40
65,3,Ceratophysella engadinensis,2
65,3,Willemia denisi,2
65,3,Thalassaphorura encarpata,46
65,3,Mesaphorura macrochaeta,8
65,3,Mesaphorura jarmilae,2
65,3,Hemisotoma thermophila,2
65,3,Parisotoma notabilis,4
65,4,Thalassaphorura encarpata,636
65,4,Mesaphorura yosii,32
65,4,Proisotoma subminuta,80
65,4,Entomobrya sp.,24
65,5,Hypogastrura assimilis,1
65,5,Micranurida pygmaea,1
65,5,Mesaphorura simoni,2
65,5,Mesaphorura yosii,5
65,5,Proisotoma minuta,1
65,5,Proisotoma subminuta,4
65,5,Parisotoma notabilis,1
65,5,Entomobrya sp.,13
65,5,Lepidocyrtus pallidus,20
65,6,Thalassaphorura encarpata,2
65,6,Mesaphorura macrochaeta,1
65,6,Folsomides centralis,1
65,6,Isotomurus sp. juv.,2
65,6,Lepidocyrtus sp.,1
65,7,Hypogastrura assimilis,13
65,7,Friesea claviseta,1
65,7,Mesaphorura macrochaeta,2
65,7,Proisotoma minuta,222
65,7,Proisotoma subminuta,4
65,8,Thalassaphorura encarpata,6
65,8,Mesaphorura macrochaeta,4
65,8,Folsomides parvulus,6
65,8,Folsomides centralis,12
65,9,Mesaphorura macrochaeta,4
65,9,Proisotoma minuta,4
65,9,Hemisotoma thermophila,48
65,9,Parisotoma notabilis,8
65,9,Entomobrya sp.,4
65,10,Ceratophysella engadinensis,36
65,10,Mesaphorura macrochaeta,8
65,10,Mesaphorura sp. juv.,8
65,10,Folsomides parvulus,20
65,10,Proisotoma minuta,28
65,10,Proisotoma subminuta,60
65,10,Hemisotoma thermophila,76
65,10,Isotomurus sp. juv.,4
65,10,Entomobrya sp.,16
66,1,Ceratophysella sp. juv.,16
66,1,Friesea claviseta,16
66,1,Thalassaphorura encarpata,288
66,1,Folsomia similis,128
66,1,Proisotoma subminuta,320
66,1,Isotomurus pseudopalustris,48
66,2,Neanura muscorum,8
66,2,Thalassaphorura encarpata,88
66,2,Mesaphorura macrochaeta,32
66,2,Mesaphorura yosii,304
66,2,Folsomia similis,112
66,2,Proisotoma subminuta,16
66,2,Parisotoma notabilis,728
66,2,Entomobrya sp.,16
66,3,Protaphorura sp. juv.,4
66,3,Thalassaphorura encarpata,8
66,3,Micraphorura absoloni,40
66,3,Mesaphorura krausbaueri,112
66,3,Folsomia similis,4
66,3,Proisotoma subminuta,4
66,3,Parisotoma notabilis,620
66,3,Isotomurus sp. juv.,12
66,3,Sminthurinus trinotatus,8
66,4,Ceratophysella engadinensis,16
66,4,Friesea claviseta,320
66,4,Thalassaphorura encarpata,176
66,4,Mesaphorura macrochaeta,352
66,4,Mesaphorura krausbaueri,80
66,4,Folsomides parvulus,16
66,4,Hemisotoma thermophila,16
66,5,Ceratophysella engadinensis,144
66,5,Friesea claviseta,816
66,5,Thalassaphorura encarpata,32
66,5,Folsomides centralis,7360
66,5,Proisotoma subminuta,16
66,5,Hemisotoma thermophila,112
66,5,Isotomurus sp. juv.,16
66,6,Friesea truncata,24
66,6,Protaphorura armata,292
66,6,Parisotoma notabilis,32
66,6,Entomobrya nigrocincta/multifasciata,44
66,7,Friesea claviseta,4
66,7,Mesaphorura krausbaueri,4
66,7,Folsomia similis,348
66,7,Folsomides centralis,4
66,7,Proisotoma minuta,8
66,7,Proisotoma subminuta,32
66,7,Parisotoma notabilis,100
66,7,Isotomurus maculatus,504
66,8,Ceratophysella engadinensis,1
66,8,Protaphorura subuliginata,20
66,8,Stenaphorura lubbocki,1
66,8,Mesaphorura macrochaeta,20
66,8,Folsomia similis,1
66,8,Folsomides sp.,8
66,8,Hemisotoma thermophila,4
66,8,Isotomiella minor,1
66,8,Parisotoma notabilis,9
66,8,Isotomurus sp. juv.,7
66,8,Bourletiella sp. juv.,2
66,9,Hemisotoma thermophila,4
66,9,Lepidocyrtus pallidus,4
66,10,Mesaphorura yosii,18
66,10,Proisotoma minuta,46
66,10,Entomobrya sp.,2
66,10,Lepidocyrtus pallidus,2
67,1,Ceratophysella gibbosa,1
67,1,Mesaphorura yosii,1
67,1,Pseudosinella sp.,1
