container,subsample,species_latin,vernalisation,amount
74,1,Betula pendula,no,1
74,1,Salix myrsinifolia,no,1
74,1,Sonchus asper,no,1
74,10,Digitaria ischaemum,no,1
74,10,Salix caprea,no,1
74,10,Salix myrsinifolia,no,1
74,10,Senecio vulgaris,yes,1
74,2,Sagina procumbens,no,1
74,3,Salix caprea,no,1
74,3,Taraxacum gr. Ruderalia,no,1
74,4,Cardamine hirsuta,yes,1
74,4,Poa annua,yes,2
74,4,Sagina procumbens,no,1
74,4,Sagina procumbens,yes,1
74,4,Salix caprea,no,1
74,4,Senecio vulgaris,yes,1
74,5,Cardamine hirsuta,no,2
74,5,Epilobium ciliatum ssp. ciliatum,no,1
74,5,Poa annua,no,1
74,5,Poa annua,yes,1
74,5,Salix caprea,no,1
74,5,Sonchus asper,no,1
74,6,Agrostis capillaris,no,1
74,6,Cardamine hirsuta,no,49
74,6,Cardamine hirsuta,yes,31
74,6,Sagina procumbens,no,724
74,6,Sagina procumbens,yes,77
74,6,Salix caprea,no,1
74,7,Cardamine hirsuta,no,1
74,7,Epilobium ciliatum ssp. ciliatum,no,1
74,7,Salix myrsinifolia,no,1
74,7,Sonchus asper,no,1
74,8,Salix myrsinifolia,no,2
74,9,Salix caprea,no,1
74,9,Setaria sp. (hårete),no,1
75,1,Taraxacum gr. Ruderalia,yes,1
75,10,Cardamine hirsuta,no,1
75,10,Sonchus oleraceus,no,1
75,10,Taraxacum gr. Ruderalia,yes,1
75,2,Cardamine hirsuta,no,3
75,2,Cardamine hirsuta,yes,4
75,2,Euphorbia maculata,yes,2
75,2,Glyceria fluitans,no,1
75,2,Salix caprea,no,1
75,3,Salix caprea,no,2
75,4,Cardamine hirsuta,no,4
75,4,Salix caprea,no,2
75,5,Epilobium ciliatum ssp. ciliatum,no,1
75,6,Cardamine hirsuta,no,1
75,6,Epilobium ciliatum ssp. ciliatum,yes,1
75,7,Salix caprea,no,2
75,8,Cardamine hirsuta,no,1
75,8,Salix caprea,no,3
75,9,Epilobium ciliatum ssp. ciliatum,no,1
75,9,Salix caprea,no,1
75,9,Taraxacum gr. Ruderalia,no,3
76,1,Salix caprea,no,1
76,10,Chenopodium album,no,4
76,10,Cirsium vulgare,no,1
76,10,Euphorbia maculata,yes,1
76,10,Persicaria maculosa,no,1
76,10,Salix caprea,no,2
76,2,Betula pendula,no,1
76,2,Conyza canadensis,no,1
76,2,Salix caprea,no,1
76,3,Chenopodium album,no,4
76,3,Conyza canadensis,no,1
76,3,Sonchus oleraceus,no,1
76,4,Cardamine hirsuta,no,103
76,4,Conyza canadensis,no,1
76,4,Salix caprea,no,2
76,4,Senecio vulgaris,no,1
76,4,Sonchus oleraceus,no,1
76,6,Conyza canadensis,no,1
76,6,Senecio vulgaris,no,1
76,7,Calluna vulgaris,no,2
76,7,Euphorbia serpens,yes,1
76,7,Salix caprea,no,1
76,8,Chenopodium album,no,56
76,8,Sonchus oleraceus,yes,1
76,9,Poa annua,no,1
76,9,Salix caprea,no,1
76,9,Solanum sarrachoides,no,1
77,1,Betula pendula,no,1
77,1,Epilobium ciliatum ssp. ciliatum,no,1
77,1,Poa annua,no,1
77,1,Solanum sarrachoides,no,2
77,1,Sonchus oleraceus,no,1
77,1,Taraxacum gr. Ruderalia,no,3
77,10,Cerastium glomeratum,no,1
77,10,Poa annua,no,1
77,10,Poa annua,yes,3
77,10,Senecio vulgaris,no,1
77,10,Stellaria media,no,1
77,2,Cardamine hirsuta,no,4
77,2,Cardamine hirsuta,yes,4
77,2,Conyza canadensis,no,1
77,2,Salix myrsinifolia,no,2
77,2,Taraxacum gr. Ruderalia,no,2
77,3,Cardamine hirsuta,no,1
77,3,Juncus bufonius,no,1
77,3,Persicaria maculosa,no,1
77,3,Salix myrsinifolia,no,1
77,3,Senecio vulgaris,no,1
77,3,Senecio vulgaris,yes,1
77,4,Cardamine hirsuta,no,1
77,4,Juncus bufonius,no,1
77,4,Poa annua,no,6
77,4,Poa annua,yes,2
77,4,Sagina procumbens,no,1
77,4,Urtica urens,no,1
77,5,Arabis thaliana,no,3
77,5,Cirsium vulgare,no,1
77,5,Epilobium ciliatum ssp. ciliatum,no,2
77,5,Epilobium obscurum,no,3
77,5,Senecio vulgaris,no,7
77,6,Betula pendula,no,1
77,6,Juncus bufonius,no,1
77,8,Capsella bursa-pastoris,no,1
77,8,Sagina procumbens,no,1
77,8,Senecio vulgaris,no,1
77,8,Solanum nigrum ssp. nigrum,no,1
