species_latin,stadium,indetermined,autorstring
Acari spp.,adult,TRUE,NA
Acrotona cf. fungi,adult,FALSE,NA
Acrotona cf. negligens,adult,FALSE,NA
Acrotona cf. parens,adult,FALSE,NA
Acrotona exigua,adult,FALSE,NA
Acrotona orbata,adult,FALSE,NA
Acrotona sp. A,adult,TRUE,NA
Acrotona sp. B,adult,TRUE,NA
Acrotona sp. C,adult,TRUE,NA
Acrotrichis henrici,adult,FALSE,NA
Acrotrichis sp.,adult,TRUE,NA
Acupalpus brunnipes,adult,FALSE,NA
Acupalpus meridianus,adult,FALSE,NA
Acupalpus parvulus,adult,FALSE,NA
Acupalpus sp.,adult,TRUE,NA
Adalia decempunctata,adult,FALSE,NA
Adistemia watsoni,adult,FALSE,NA
Agathidium marginatum,adult,FALSE,NA
Aleochara  cf. bipustulata,adult,FALSE,NA
Aleocharinae sp. A,adult,TRUE,NA
Aleocharinae sp. B,adult,TRUE,NA
Aleocharinae sp. C,adult,TRUE,NA
Aleocharinae sp. D,adult,TRUE,NA
Aloconota gregaria,adult,FALSE,NA
Amara aenea,adult,FALSE,NA
Amara spreta,adult,FALSE,NA
Amara tibialis,adult,FALSE,NA
Amischa analis,adult,FALSE,NA
Amischa bifoveolata,adult,FALSE,NA
Amischa cf. forcipata,adult,FALSE,NA
Amischa decipiens,adult,FALSE,NA
Amischa nigrofusca,adult,FALSE,NA
Anotylus nitidulus,adult,FALSE,NA
Anotylus sp. B,adult,TRUE,NA
Anthobium melanocephalum,adult,FALSE,NA
Anthobium unicolor,adult,FALSE,NA
Anurophorus laricis,adult,FALSE,"Nicolet, 1842"
Anurophorus satchelli,adult,FALSE," Goto, 1956"
Aphiodoidea spp. juv. and adult,nymph and adult,TRUE,NA
Aphodius prodromus,adult,FALSE,NA
Aranae spp.,adult,TRUE,NA
Arrhopalites sp. juv.,juvenile,TRUE,NA
Atheta amicula,adult,FALSE,NA
Atheta inquinula,adult,FALSE,NA
Atheta (Philhygra) sp.,adult,TRUE,NA
Atheta sordidula,adult,FALSE,NA
Atheta sp.9 (jfr. 2012),adult,TRUE,NA
Atheta sp. A,adult,TRUE,NA
Atheta sp. B,adult,TRUE,NA
Atheta (s.str.) aeneicollis,adult,FALSE,NA
Atheta (s.str.) autumnalis,adult,FALSE,NA
