species_latin,species_norsk,autorstreng,native,alien
Acer platanoides,Spisslønn,NA,TRUE,FALSE
Aethusa cynapium cf. ssp. cynapium,ugraspersille,NA,TRUE,FALSE
Agrostis canina,hundekvein,NA,TRUE,FALSE
Agrostis capillaris,engkvein,NA,TRUE,FALSE
Agrostis gigantea,storkvein,NA,TRUE,FALSE
Agrostis nebulosa,NA,NA,FALSE,TRUE
Agrostis stolonifera,krypkvein,NA,TRUE,FALSE
Alnus incana,gråor,NA,TRUE,FALSE
Amaranthus,Amarantslekta,NA,TRUE,FALSE
Amaranthus blitum,blyamarant,NA,FALSE,TRUE
Amaranthus cf. hybridus,NA,NA,FALSE,TRUE
Amaranthus cf. palmeri,NA,NA,FALSE,TRUE
Amaranthus cf. retroflexus,NA,NA,FALSE,TRUE
Amaranthus palmeri,NA,NA,TRUE,FALSE
Amaranthus retroflexus,NA,NA,TRUE,FALSE
Amaranthus viridis,smalamarant,NA,FALSE,TRUE
Anisodontea,NA,NA,TRUE,FALSE
Anisodontea elegans,NA,NA,TRUE,FALSE
Arabis hirsuta ssp. hirsuta,Lønn,NA,TRUE,FALSE
Arabis thaliana,NA,NA,TRUE,FALSE
Argyranthemum frutescens,Margeritt,NA,TRUE,FALSE
Betula pendula,hengebjørk,NA,TRUE,FALSE
Bidens pilosa,tiggerbrønsle,NA,FALSE,TRUE
Boronia heterophylla,NA,NA,TRUE,FALSE
Buddleia davidii,NA,NA,FALSE,TRUE
Buxus sempervirens,Buksbom,NA,TRUE,FALSE
Calamagrostis epigejos,NA,NA,TRUE,FALSE
Calamagrostis phragmitoides,skogrørkvein,NA,TRUE,FALSE
Calluna vulgaris,Røsslyng,NA,TRUE,FALSE
Capsella bursa-pastoris,gjetertaske,NA,TRUE,FALSE
Caragana arborescens,Sibirertebusk,NA,TRUE,FALSE
Cardamine hirsuta,rosettkarse,NA,TRUE,FALSE
Cardamine pratensis,Viftelønn,NA,TRUE,FALSE
Carex canescens,gråstarr,NA,TRUE,FALSE
Carex cf. canescens,NA,NA,TRUE,FALSE
Carex cf. rostrata,Kattebusk/Hortensia,NA,TRUE,FALSE
Carex rostrata,NA,NA,TRUE,FALSE
Carpinus betulus,Agnbøk,NA,TRUE,FALSE
Cerastium cf. fontanum,NA,NA,TRUE,FALSE
Cerastium fontanum,arve,NA,TRUE,FALSE
Cerastium glomeratum,veiarve,NA,TRUE,FALSE
Cercidiphyllum japonicum,Hjertetre,NA,TRUE,FALSE
Chaenorhinum minus,småtorskemunn,NA,FALSE,TRUE
Chamaecyparis lawsonia,NA,NA,TRUE,FALSE
