species_latin,container,subsample,amount
Oligochaeta spp.,62,1,1
Acari spp.,62,1,440
Diptera spp. juv.,62,1,1
Psocoptera spp.,62,1,1
Acari spp.,62,2,280
Aranae spp.,62,2,1
Diptera spp. juv.,62,2,1
Diptera spp.,62,2,1
Acari spp.,62,3,160
Diptera spp.,62,3,1
Acari spp.,62,4,520
Diptera spp.,62,4,1
Acari spp.,62,5,180
Parasitica spp.,62,5,1
Acari spp.,62,6,260
Diptera spp.,62,6,1
Acari spp.,62,7,120
Oligochaeta spp.,62,8,1
Acari spp.,62,8,820
Diptera spp. juv.,62,8,1
Diptera spp.,62,8,2
Temnothorax sp.,62,8,1
Acari spp.,62,9,920
Diptera spp. juv.,62,9,1
Diptera spp.,62,9,2
Acari spp.,62,10,120
Diptera spp. juv.,62,10,3
Acari spp.,63,1,380
Diptera spp. juv.,63,1,1
Oligochaeta spp.,63,2,2
Acari spp.,63,2,180
Acari spp.,63,3,240
Diptera spp. juv.,63,3,23
Diptera spp.,63,3,1
Oligochaeta spp.,63,4,9
Acari spp.,63,4,2432
Aranae spp.,63,4,3
Diptera spp. juv.,63,4,16
Coccioidea spp. juv. and adult,63,4,7
Hypoponera sp.,63,4,1
Chilopoda spp.,63,4,5
Oligochaeta spp.,63,5,7
Acari spp.,63,5,20
Diptera spp. juv.,63,5,25
Nematoda spp.,63,5,1
Acari spp.,63,6,320
Aranae spp.,63,6,1
Diptera spp. juv.,63,6,30
Diptera spp.,63,6,1
Oligochaeta spp.,63,7,2
Acari spp.,63,7,640
Aranae spp.,63,7,1
Diptera spp. juv.,63,7,41
Diptera spp.,63,7,1
Acari spp.,63,8,28
Diptera spp. juv.,63,8,111
Chilopoda spp.,63,8,1
Nematoda spp.,63,8,3
Oligochaeta spp.,63,9,31
Acari spp.,63,9,2240
Diptera spp. juv.,63,9,33
Diptera spp.,63,9,1
Coccioidea spp. juv. and adult,63,9,1
Chilopoda spp.,63,9,1
Oxidus gracilus,63,9,1
Acari spp.,63,10,40
Diptera spp. juv.,63,10,63
Chilopoda spp.,63,10,1
Nematoda spp.,63,10,4
Oligochaeta spp.,64,1,50
Acari spp.,64,1,220
Aranae spp.,64,1,1
Diptera spp. juv.,64,1,194
Diptera spp.,64,1,2
Aphiodoidea spp. juv. and adult,64,1,1
Aucheorrhyncha spp.,64,1,1
Aucheorrhyncha spp. juv.,64,1,9
Oligochaeta spp.,64,2,4
Acari spp.,64,2,108
Aranae spp.,64,2,2
Diptera spp. juv.,64,2,15
Diptera spp.,64,2,1
Parasitica spp.,64,2,1
Lepidoptera spp.,64,2,1
Acari spp.,64,3,336
Diptera spp. juv.,64,3,5
Diptera spp.,64,3,4
Parasitica spp.,64,3,1
Thysanoptera spp. juv.,64,3,1
Oligochaeta spp.,64,4,21
Acari spp.,64,4,240
Diptera spp. juv.,64,4,45
Diptera spp.,64,4,3
Parasitica spp.,64,4,1
Chilopoda spp.,64,4,4
Oligochaeta spp.,64,5,4
Acari spp.,64,5,28
Diptera spp. juv.,64,5,110
Diptera spp.,64,5,11
Parasitica spp.,64,5,2
Chilopoda spp.,64,5,1
Oligochaeta spp.,64,6,26
Acari spp.,64,6,104
Diptera spp. juv.,64,6,7
Diptera spp.,64,6,3
Oligochaeta spp.,64,7,6
Acari spp.,64,7,430
Diptera spp. juv.,64,7,6
Diptera spp.,64,7,2
Parasitica spp.,64,7,2
Chilopoda spp.,64,7,10
Diplopoda spp.,64,7,2
Oxidus gracilus,64,7,2
Oligochaeta spp.,64,8,52
Acari spp.,64,8,176
Aranae spp.,64,8,9
Diptera spp. juv.,64,8,262
Diptera spp.,64,8,1
Parasitica spp.,64,8,1
Thysanoptera spp. juv.,64,8,1
Chilopoda spp.,64,8,7
Nematoda spp.,64,8,5
Oligochaeta spp.,64,9,7
Acari spp.,64,9,80
Diptera spp. juv.,64,9,74
Diptera spp.,64,9,5
Parasitica spp.,64,9,1
Oligochaeta spp.,64,10,21
Acari spp.,64,10,60
Aranae spp.,64,10,2
Diptera spp. juv.,64,10,11
Diptera spp.,64,10,4
Oligochaeta spp.,65,1,25
Acari spp.,65,1,40
Aranae spp.,65,1,2
Diptera spp. juv.,65,1,101
Diptera spp.,65,1,1
Gastropoda spp.,65,1,1
Oligochaeta spp.,65,2,1
Acari spp.,65,2,228
Aranae spp.,65,2,2
Diptera spp. juv.,65,2,262
Acari spp.,65,3,328
Diptera spp. juv.,65,3,5
Nematoda spp.,65,3,2
Oligochaeta spp.,65,4,5
Acari spp.,65,4,320
Aranae spp.,65,4,1
Oniscidea spp.,65,4,1
Diptera spp. juv.,65,4,1
Diptera spp.,65,4,1
Thysanoptera spp.,65,4,1
Thysanoptera spp. juv.,65,4,7
Chilopoda spp.,65,4,1
Diplopoda spp.,65,4,2
Gastropoda spp.,65,4,1
Oligochaeta spp.,65,5,3
Acari spp.,65,5,44
Diptera spp. juv.,65,5,6
Diptera spp.,65,5,1
Acari spp.,65,6,42
Acari spp.,65,7,372
Diptera spp. juv.,65,7,10
Diptera spp.,65,7,2
Oligochaeta spp.,65,8,1
Acari spp.,65,8,4
Diptera spp. juv.,65,8,6
Diptera spp.,65,8,1
Chilopoda spp.,65,8,2
Acari spp.,65,9,160
Diptera spp. juv.,65,9,2
Diptera spp.,65,9,2
Acari spp.,65,10,228
Aranae spp.,65,10,1
Diptera spp. juv.,65,10,70
Diptera spp.,65,10,2
Oligochaeta spp.,66,1,33
Acari spp.,66,1,5520
Aranae spp.,66,1,1
Oniscidea spp.,66,1,1
