Last,Brett,Kode,Art,Vernalisering,Antall planter,Når registrert, comment,,
1,1,1-01,Cardamine hirsuta,FV,31,4/29/2014,,,
1,1,1-01,Cardamine hirsuta,FV,20,5/13/2014,,,
1,1,1-01,Cardamine hirsuta,FV,8,6/12/2014,,,
1,1,1-01,Cardamine hirsuta,FV,5,6/27/2014,,,
1,1,1-01,Cardamine hirsuta,FV,15,7/17/2014,,,
1,1,1-01,Cardamine hirsuta,EV,4,1/15/2015,,,
1,1,1-01,Cerastium glomeratum,FV,1,5/13/2014,,,
1,1,1-01,Cerastium glomeratum,FV,1,6/12/2014,,,
1,1,1-01,Cerastium glomeratum,FV,2,6/27/2014,,,
1,1,1-01,Cerastium glomeratum,EV,3,1/15/2015,,,
1,1,1-01,Senecio vulgaris,FV,20,4/29/2014,,,
1,1,1-01,Senecio vulgaris,FV,2,6/27/2014,,,
1,1,1-01,Stellaria media,FV,5,4/29/2014,,,
1,1,1-01,Stellaria media,FV,1,5/13/2014,,,
1,1,1-01,Stellaria media,FV,5,6/12/2014,,,
1,1,1-01,Stellaria media,FV,6,6/27/2014,,,
1,1,1-01,Stellaria media,EV,1,1/15/2015,,,
2,1,2-01,Calamagrostis epigeios,FV,5,6/27/2014,,,
2,1,2-01,Cardamine hirsuta,FV,10,4/29/2014,,,
2,1,2-01,Cardamine hirsuta,FV,6,5/13/2014,,,
2,1,2-01,Cardamine hirsuta,FV,2,6/12/2014,,,
2,1,2-01,Cardamine hirsuta,FV,2,6/27/2014,,,
2,1,2-01,Cardamine hirsuta,FV,7,7/17/2014,,,
2,1,2-01,Cardamine hirsuta,EV,1,1/15/2015,,,
2,1,2-01,Epilobium ciliatum,FV,3,7/17/2014,,,
2,1,2-01,Sagina procumbens,FV,273,7/17/2014,Det stemmer det høye tallet!,,
2,1,2-01,Sagina procumbens,EV,119,1/15/2015,NB! Det høye tallet stemmer!,,
2,1,2-01,Sagina procumbens,FV,55,6/12/2014,,,
2,1,2-01,Sagina procumbens,FV,95,6/27/2014,,,
2,1,2-01,Sagina procumbens,FV,5,6/27/2014,,,
2,1,2-01,Sonchus oleraceus,FV,2,5/13/2014,,,
2,1,2-01,sonchus oleraceus,FV,1,7/17/2014,,,
3,1,3-01,Arabis thaliana,EV,1,1/15/2015,,,
3,1,3-01,Lepidotheca suaveolens ,FV,1,5/13/2014,,,
3,1,3-01,Persicaria laphatifolia ssp. lapathifolia,FV,1,5/13/2014,,,
3,1,3-01,Plantago major ssp.major,FV,1,5/13/2014,,,
3,1,3-01,Rumex acetosella ssp. acetosella,FV,5,5/13/2014,,,
3,1,3-01,Stellaria media,FV,1,5/13/2014,,,
3,1,3-01,Urtica urens,FV,1,5/13/2014,,,
3,1,3-01,Veronica peregrina,FV,1,6/12/2014,,,
4,1,4-01,Amaranthus cf. retroflexus ,FV,1,6/27/2014,,,
4,1,4-01,Cerastium glomeratum,FV,1,6/12/2014,,,
4,1,4-01,Cerastium glomeratum,EV,1,1/15/2015,,,
4,1,4-01,Sonchus oleraceus,FV,1,6/12/2014,,,
5,1,5-01,Betula pendula,EV,1,1/15/2015,,,
5,1,5-01,Cardamine hirsuta,FV,7,7/17/2014,,,
5,1,5-01,Cardamine hirsuta,FV,2,7/18/2014,,,
5,1,5-01,Epilobium ciliatum,FV,1,7/17/2014,,,
5,1,5-01,Epilobium ciliatum ,EV,1,1/15/2015,,,
6,1,6-01,Bidens pilosa,FV,2,4/2/2015,,,
6,1,6-01,Cardamine hirsuta,FV,22,4/29/2014,,,
6,1,6-01,Cardamine hirsuta,FV,6,5/13/2014,,,
6,1,6-01,Cardamine hirsuta,FV,5,6/12/2014,,,
6,1,6-01,Cardamine hirsuta,FV,45,7/17/2014,,,
6,1,6-01,Cardamine hirsuta,FV,2,7/17/2014,,,
6,1,6-01,Cardamine hirsuta,EV,11,1/15/2015,,,
6,1,6-01,Claytonia perfoliata,EV,2,1/15/2015,,,
6,1,6-01,Eclipta prostrata,FV,1,7/18/2014,,,
6,1,6-01,Epilobium ciliatum ,EV,1,1/15/2015,,,
6,1,6-01,Euphorbia maculata,FV,2,6/12/2014,,,
6,1,6-01,Portulaca oleracea ssp. sativa,FV,63,4/29/2014,,,
6,1,6-01,Portulaca oleracea ssp. sativa,FV,5,5/13/2014,,,
6,1,6-01,Portulaca oleracea ssp. sativa,FV,6,6/12/2014,,,
6,1,6-01,Sonchus oleraceus,FV,1,5/13/2014,,,
6,1,6-01,Sonchus oleraceus,EV,1,1/15/2015,,,
7,1,7-01,Chenopodium album,FV,2,5/13/2014,,,
7,1,7-01,Conyza canadensis,FV,5,6/27/2014,,,
7,1,7-01,Echinochloa crus-galli,FV,3,4/29/2014,,,
7,1,7-01,Geranium pusilllum,FV,2,5/13/2014,,,
7,1,7-01,Poa annua,FV,1,6/12/2014,,,
7,1,7-01,Solanum nigrum ssp.  nigrum,FV,92,4/29/2014,,,
7,1,7-01,Solanum nigrum ssp.  nigrum,FV,1,6/12/2014,,,
7,1,7-01,Solanum nigrum ssp.  nigrum,FV,3,6/12/2014,,,
7,1,7-01,Solanum nigrum ssp.  nigrum,FV,1,7/17/2014,,,
8,1,8-01,Chenopodium album,FV,9,4/29/2014,,,
8,1,8-01,Poa annua,FV,43,5/13/2014,,,
8,1,8-01,Poa annua,FV,1,7/2/2014,,,
8,1,8-01,Poa annua,FV,2,7/17/2014,,,
8,1,8-01,Poa annua,FV,3,7/17/2014,,,
8,1,8-01,Poa annua,EV,3,1/15/2015,,,
8,1,8-01,Stellaria media,FV,5,7/2/2014,,,
9,1,9-01,Cardamine hirsuta,FV,1,7/17/2014,,,
9,1,9-01,Cardamine hirsuta,EV,1,1/15/2015,,,
10,1,10-01,Cardamine hirsuta,FV,4,6/12/2014,,,
10,1,10-01,Cardamine hirsuta,FV,2,6/27/2014,,,
10,1,10-01,Cardamine hirsuta,FV,11,7/17/2014,,,
10,1,10-01,Cardamine hirsuta,EV,5,1/15/2015,,,
10,1,10-01,Cerastium glomeratum,FV,2,7/17/2014,,,
11,1,11-01,Euphorbia prostrata,FV,1,6/27/2014,,,
11,1,11-01,Sagina procumbens,EV,15,1/15/2015,,,
12,1,12-01,Cardamine hirsuta,EV,1,10/6/2015,Det som var satt til side for blomstring (spirt i denne),,
12,1,12-01,Cardamine hirsuta,FV,11,6/12/2014,NB Hadde spredd litt frø,,
12,1,12-01,Cardamine hirsuta,FV,2,6/27/2014,,,
12,1,12-01,Cardamine hirsuta,FV,10,7/2/2014,,,
12,1,12-01,Cardamine hirsuta,FV,59,7/17/2014,,,
12,1,12-01,Cardamine hirsuta,EV,61,1/15/2015,,,
12,1,12-01,Poa annua,FV,1,6/12/2014,,,
12,1,12-01,Poa annua,FV,6,7/17/2014,,,
12,1,12-01,Poa annua,EV,4,1/15/2015,,,
13,1,13-01,Arabis thaliana,FV,1,7/17/2014,,,
13,1,13-01,Arabis thaliana,EV,2,1/15/2015,,,
13,1,13-01,Capsella bursa-pastoris,FV,1,6/12/2014,,,
13,1,13-01,Cardamine hirsuta,FV,1,6/12/2014,,,
13,1,13-01,Cardamine hirsuta,FV,1,7/17/2014,,,
13,1,13-01,Cerastium glomeratum,FV,1,6/12/2014,,,
13,1,13-01,Cerastium glomeratum,FV,1,7/17/2014,,,
13,1,13-01,Chenopodium album,FV,4,6/12/2014,,,
13,1,13-01,Epilobium ciliatum,FV,1,6/12/2014,,,
13,1,13-01,Epilobium ciliatum,FV,2,7/17/2014,,,
13,1,13-01,Gnaphalium uliginosum ,FV,1,6/12/2014,,,
13,1,13-01,Oxalis corniculata,EV,1,1/15/2015,,,
13,1,13-01,Persicaria laphatifolia ssp. lapathifolia,FV,1,6/12/2014,,,
13,1,13-01,Poa annua,FV,16,6/12/2014,,,
13,1,13-01,Poa annua,FV,3,6/27/2014,,,
13,1,13-01,Poa annua,FV,1,7/2/2014,,,
13,1,13-01,Poa annua,FV,4,7/17/2014,,,
13,1,13-01,Poa annua,EV,1,1/15/2015,,,
13,1,13-01,Polygonum aviculare ssp. Microspermum,FV,1,6/12/2014,,,
13,1,13-01,Sagina procumbens,FV,1,7/2/2014,,,
13,1,13-01,Solanum nigrum ssp.  nigrum,FV,1,6/12/2014,,,
14,1,14-01,Stellaria media,FV,1,6/27/2014,,,
15,1,15-01,Coronopus didymus,FV,3,6/12/2014,,,
15,1,15-01,Euphorbia maculata,FV,1,6/12/2014,,,
15,1,15-01,Portulaca oleracea ssp. sativa,FV,1,6/12/2014,,,
15,1,15-01,Solanum nigrum ssp.  nigrum,FV,34,6/12/2014,,,
15,1,15-01,Solanum nigrum ssp.  nigrum,FV,1,6/12/2014,,,
16,1,16-01,Oxalis corniculata,FV,1,7/17/2014,,,
16,1,16-01,Portulaca oleracea ssp. sativa,FV,1,6/27/2014,,,
17,1,17-01,Sagina procumbens,FV,1,6/12/2014,,,
17,1,17-01,Sagina procumbens,FV,1,6/12/2014,,,
17,1,17-01,Stellaria media,FV,1,6/12/2014,,,
17,1,17-01,Stellaria media,FV,4,7/17/2014,,,
18,1,18-01,Cardamine hirsuta,FV,58,6/12/2014,,,
18,1,18-01,Cardamine hirsuta,FV,2,6/27/2014,,,
18,1,18-01,Cardamine hirsuta,FV,12,7/17/2014,,,
18,1,18-01,Cardamine hirsuta,EV,1,1/15/2015,,,
18,1,18-01,Cerastium glomeratum,FV,2,6/12/2014,,,
18,1,18-01,Cerastium glomeratum,FV,4,7/17/2014,,,
18,1,18-01,Cerastium glomeratum,EV,2,1/15/2015,,,
18,1,18-01,Poa annua,FV,1,7/17/2014,,,
18,1,18-01,Sagina procumbens,FV,1,6/12/2014,,,
18,1,18-01,Sagina procumbens,FV,3,6/27/2014,,,
18,1,18-01,Sagina procumbens,FV,11,7/17/2014,,,
18,1,18-01,Senecio vulgaris,FV,6,6/12/2014,,,
18,1,18-01,Senecio vulgaris,FV,2,7/17/2014,,,
19,1,19-01,Cardamine hirsuta,FV,7,6/12/2014,,,
19,1,19-01,Cardamine hirsuta,FV,2,6/27/2014,,,
19,1,19-01,Cardamine hirsuta,FV,2,7/17/2014,,,
19,1,19-01,Oxalis corniculata,FV,1,6/12/2014,,,
19,1,19-01,Oxalis corniculata,EV,1,1/15/2015,,,
19,1,19-01,Poa annua,FV,6,6/12/2014,,,
19,1,19-01,Poa annua,FV,1,6/27/2014,,,
19,1,19-01,Poa annua,EV,1,1/15/2015,,,
19,1,19-01,Sagina procumbens,FV,1,6/27/2014,,,
20,1,20-01,Arabis thaliana,FV,1,7/17/2014,,,
20,1,20-01,Arabis thaliana,EV,1,1/15/2015,,,
20,1,20-01,Capsella bursa-pastoris,FV,3,6/12/2014,,,
20,1,20-01,Cardamine hirsuta,FV,4,6/12/2014,,,
20,1,20-01,Cardamine hirsuta,FV,1,6/27/2014,,,
20,1,20-01,Cardamine hirsuta,FV,4,7/2/2014,,,
20,1,20-01,Cardamine hirsuta,FV,3,7/17/2014,,,
20,1,20-01,Cerastium glomeratum,EV,1,1/15/2015,,,
20,1,20-01,Chenopodium album,FV,17,6/12/2014,,,
20,1,20-01,Claytonia perfoliata,EV,4,1/15/2015,,,
20,1,20-01,Poa annua,FV,2,6/12/2014,,,
20,1,20-01,Senecio vulgaris,FV,2,6/12/2014,,,
20,1,20-01,Solanum nigrum ssp.  nigrum,FV,3,6/12/2014,,,
21,1,21-01,Arabis thaliana,EV,1,1/15/2015,,,
21,1,21-01,Betula pendula,FV,2,6/12/2014,,,
21,1,21-01,Capsella bursa-pastoris,FV,4,6/12/2014,,,
21,1,21-01,Cardamine hirsuta,FV,9,6/12/2014,,,
21,1,21-01,Cardamine hirsuta,FV,5,6/27/2014,,,
21,1,21-01,Cardamine hirsuta,FV,1,6/27/2014,,,
21,1,21-01,Cardamine hirsuta,FV,1,7/2/2014,,,
21,1,21-01,Cardamine hirsuta,FV,14,7/17/2014,,,
21,1,21-01,Cardamine hirsuta,EV,19,1/15/2015,,,
21,1,21-01,Epilobium ciliatum,FV,6,6/12/2014,,,
21,1,21-01,Epilobium ciliatum,FV,1,7/2/2014,,,
21,1,21-01,Epilobium ciliatum,FV,2,7/17/2014,,,
21,1,21-01,Epilobium ciliatum ,EV,2,1/15/2015,,,
21,1,21-01,Poa annua,FV,2,6/12/2014,,,
21,1,21-01,Poa annua,FV,1,6/27/2014,,,
21,1,21-01,Poa annua,FV,1,7/17/2014,,,
21,1,21-01,Poa annua,EV,1,1/15/2015,,,
21,1,21-01,Rorippa palustris,FV,1,6/27/2014,,,
21,1,21-01,Senecio vulgaris,FV,2,6/12/2014,,,
22,1,22-01,Capsella bursa-pastoris,FV,1,9/5/2014,,,
24,1,24-01,Arabis thaliana,EV,1,1/15/2015,,,
24,1,24-01,Betula pendula,FV,2,7/17/2014,,,
24,1,24-01,Cardamine hirsuta,EV,582,1/7/2016,,,
24,1,24-01,Cardamine hirsuta,EV,13,1/27/2016,,,
24,1,24-01,Cardamine hirsuta,EV,5,2/16/2016,,,
24,1,24-01,Cardamine hirsuta,EV,1,3/1/2016,,,
24,1,24-01,Cardamine hirsuta,EV,5,3/29/2016,,,
24,1,24-01,Cardamine hirsuta,EV,1,4/4/2016,,,
24,1,24-01,Cardamine hirsuta,FV,1,7/17/2014,,,
24,1,24-01,Cardamine hirsuta,FV,19,5/13/2015,,,
24,1,24-01,Cardamine hirsuta,FV,1,5/18/2015,,,
24,1,24-01,Cardamine hirsuta,FV,2,5/28/2015,,,
24,1,24-01,Cardamine hirsuta,FV,3,6/2/2015,,,
24,1,24-01,Cardamine hirsuta,FV,1,6/12/2015,,,
24,1,24-01,Cardamine hirsuta,FV,3,8/25/2015,,,
24,1,24-01,Cerastium glomeratum,FV,1,6/2/2015,,,
24,1,24-01,Cerastium glomeratum,FV,1,6/12/2015,,,
24,1,24-01,Cerastium glomeratum,FV,2,6/25/2015,,,
24,1,24-01,Cerastium glomeratum,FV,2,8/25/2015,,,
24,1,24-01,Conyza canadensis,FV,1,6/12/2015,,,
24,1,24-01,Epilobium ciliatum,FV,1,5/18/2015,,,
24,1,24-01,Epilobium ciliatum ,EV,3,1/15/2015,,,
24,1,24-01,Poa annua,EV,1,4/4/2016,,,
24,1,24-01,Poa annua,FV,1,7/17/2014,,,
24,1,24-01,Poa annua,EV,1,1/15/2015,,,
24,1,24-01,Sagina procumbens,FV,1,8/25/2015,Rosetkarse hadde frødd seg! Men prøvde å fjerne det som var forurensing i brettet,,
24,1,24-01,Sagina procumbens,FV,2,6/12/2015,,,
24,1,24-01,Sagina procumbens,EV,1,2/16/2016,,,
24,1,24-01,Sagina procumbens,EV,1,3/29/2016,,,
24,1,24-01,Sanvitalia procumbens,FV,2,9/5/2014,,,
24,1,24-01,Senecio vulgaris,FV,9,5/13/2015,,,
24,1,24-01,Senecio vulgaris,FV,1,5/18/2015,,,
24,1,24-01,Senecio vulgaris,FV,3,6/27/2014,,,
24,1,24-01,Senecio vulgaris,FV,1,7/17/2014,,,
24,1,24-01,Stellaria media,FV,1,7/17/2014,,,
24,1,24-01,Taraxacum officinalis,FV,3,7/17/2014,,,
25,1,25-01,Cardamine hirsuta,EV,16,1/7/2016,,,
25,1,25-01,Cardamine hirsuta,EV,1,1/27/2016,,,
25,1,25-01,Cerastium glomeratum,EV,1,1/7/2016,,,
25,1,25-01,Juncus compressus,FV,1,6/17/2015,,,
25,1,25-01,Poa annua,EV,2,1/15/2015,,,
25,1,25-01,Spergula arvensis,FV,1,7/17/2014,,,
25,1,25-01,Stellaria media,FV,1,7/17/2014,,,
25,1,25-01,Taraxacum officinalis,FV,3,7/17/2014,,,
25,1,25-01,Urtica urens,FV,5,7/17/2014,,,
26,1,26-01,Cardamine hirsuta,EV,86,1/7/2016,,,
26,1,26-01,Cardamine hirsuta,EV,16,1/27/2016,,,
26,1,26-01,Cardamine hirsuta,EV,1,3/29/2016,,,
26,1,26-01,Poa annua,FV,1,5/20/2015,,,
26,1,26-01,Solanum tuberosum 'Amandine',FV,1,8/25/2015,,,
26,1,26-01,Solanum tuberosum 'Amandine',EV,1,1/27/2016,,,
26,1,26-01,Solanum tuberosum 'Amandine',EV,1,3/1/2016,,,
26,1,26-01,Stellaria media,FV,3,5/18/2015,,,
26,1,26-01,Stellaria media,FV,1,6/2/2015,,,
26,1,26-01,Stellaria media,FV,2,6/25/2015,,,
26,1,26-01,Stellaria media,FV,1,8/25/2015,,,
26,1,26-01,Stellaria media,EV,9,1/7/2016,,,
27,1,27-01,Cardamine hirsuta,EV,3,1/7/2016,,,
27,1,27-01,Cardamine hirsuta,EV,1,4/4/2016,,,
28,1,28-01,Cardamine hirsuta,EV,39,1/7/2016,,,
28,1,28-01,Poa annua,FV,2,8/25/2015,,,
28,1,28-01,Poa annua,EV,15,1/7/2016,,,
28,1,28-01,Portulaca oleracea,FV,1,5/20/2015,,,
28,1,28-01,Portulaca oleracea ssp. oleracea,EV,1,1/27/2016,,,
28,1,28-01,Sonchus oleraceus,FV,1,5/26/2015,,,
28,1,28-01,Sonchus oleraceus,FV,1,8/25/2015,,,
29,1,29-01,Cardamine hirsuta,EV,7,1/7/2016,,,
29,1,29-01,Cardamine hirsuta,EV,2,1/27/2016,,,
29,1,29-01,Cardamine hirsuta,EV,1,4/4/2016,,,
30,1,30-01,Cardamine hirsuta,EV,130,1/8/2016,,,
30,1,30-01,Cardamine hirsuta,EV,60,1/27/2016,,,
30,1,30-01,Cardamine hirsuta,EV,6,2/16/2016,,,
30,1,30-01,Cardamine hirsuta,EV,2,3/1/2016,,,
30,1,30-01,Cardamine hirsuta,EV,1,3/15/2016,,,
30,1,30-01,Cardamine hirsuta,EV,8,3/29/2016,,,
30,1,30-01,Cardamine hirsuta,EV,6,4/4/2016,,,
30,1,30-01,Cardamine hirsuta,FV,4,8/25/2015,,,
30,1,30-01,Chenopodium album,FV,10,5/26/2015,,,
30,1,30-01,Sagina procumbens,EV,2,1/27/2016,,,
30,1,30-01,Sagina procumbens,EV,1,2/16/2016,,,
30,1,30-01,Senecio vulgaris,FV,2,5/18/2015,,,
31,1,31-01,Arabis thaliana,EV,2,1/8/2016,,,
31,1,31-01,Cardamine hirsuta,EV,9,1/7/2016,,,
31,1,31-01,Cardamine hirsuta,EV,1,1/8/2016,,,
31,1,31-01,Cardamine hirsuta,EV,2,1/27/2016,,,
31,1,31-01,Cardamine hirsuta,EV,1,3/1/2016,,,
31,1,31-01,Cardamine hirsuta,EV,2,3/15/2016,,,
31,1,31-01,Cardamine hirsuta,EV,1,4/4/2016,,,
31,1,31-01,Chaenorhinum minus,FV,1,8/25/2015,,,
31,1,31-01,Chenopodium album,FV,3,5/18/2015,,,
31,1,31-01,Chenopodium ficifolium,FV,1,6/25/2015,,,
31,1,31-01,Matricaria perforata,EV,1,1/27/2016,,,
31,1,31-01,Poa annua,EV,1,3/15/2016,,,
31,1,31-01,Rorippa sylvestris,FV,1,8/25/2015,,,
31,1,31-01,Sagina procumbens,FV,1,6/12/2015,,,
31,1,31-01,Senecio vulgaris,FV,1,5/20/2015,,,
1,2,1-02,Cardamine hirsuta,FV,1,6/12/2014,,,
1,2,1-02,Juncus bulbosus,FV,1,6/12/2014,,,
2,2,2-02,Betula pendula,FV,1,5/13/2014,,,
2,2,2-02,Cardamine hirsuta,FV,4,4/29/2014,,,
2,2,2-02,Cardamine hirsuta,FV,1,5/13/2014,,,
2,2,2-02,Cardamine hirsuta,FV,1,6/12/2014,,,
2,2,2-02,Cardamine hirsuta,FV,1,6/27/2014,,,
2,2,2-02,Cardamine hirsuta,FV,2,7/2/2014,,,
