Taxa,62-01,62-02,62-03,62-04,62-05,62-06,62-07,62-08,62-09,62-10,63-01,63-02,63-03,63-04,63-05,63-06,63-07,63-08,63-09,63-10,64-01,64-02,64-03,64-04,64-05,64-06,64-07,64-08,64-09,64-10,65-01,65-02,65-03,65-04,65-05,65-06,65-07,65-08,65-09,65-10,66-01,66-02,66-03,66-04,66-05,66-06,66-07,66-08,66-09,66-10,67-01,67-02,67-03,67-04,67-05,67-06,67-07,67-08,67-09,67-10,68-01,68-02,68-03,68-04,68-05,68-06,68-07,68-08,68-09,68-10,69-01,69-02,69-03,69-04,69-05,69-06,69-07,69-08,69-09,69-10,70-01,70-02,70-03,70-04,70-05,70-06,70-07,70-08,70-09,70-10,71-01,71-02,71-03,71-04,71-05,71-06,71-07,71-08,71-09,71-10,72-01,72-02,72-03,72-04,72-05,72-06,72-07,72-08,72-09,72-10,73-01,73-02,73-03,73-04,73-05,73-06,73-07,73-08,73-09,73-10,74-01,74-02,74-03,74-04,74-05,74-06,74-07,74-08,74-09,74-10,75-01,75-02,75-03,75-04,75-05,75-06,75-07,75-08,75-09,75-10,76-01,76-02,76-03,76-04,76-05,76-06,76-07,76-08,76-09,76-10,77-01,77-02,77-03,77-04,77-05,77-06,77-07,77-08,77-09,77-10,78-01,78-02,78-03,78-04,78-05,78-06,78-07,78-08,78-09,78-10,79-01,79-02,79-03,79-04,79-05,79-06,79-07,79-08,79-09,79-10,80-01,80-02,80-03,80-04,80-05,80-06,80-07,80-08,80-09,80-10,81-01,81-02,81-03,81-04,81-05,81-06,81-07,81-08,81-09,81-10,82-01,82-02,82-03,82-04,82-05,82-06,82-07,82-08,82-09,82-10,83-01,83-02,83-03,83-04,83-05,83-06,83-07,83-08,83-09,83-10,84-01,84-02,84-03,84-04,84-05,84-06,84-07,84-08,84-09,84-10,85-01,85-02,85-03,85-04,85-05,85-06,85-07,85-08,85-09,85-10,86-01,86-02,86-03,86-04,86-05,86-06,86-07,86-08,86-09,86-10,87-01,87-02,87-03,87-04,87-05,87-06,87-07,87-08,87-09,87-10
Oligochaeta spp.,1,,,,,,,1,,,,2,,9,7,,2,,31,,50,4,,21,4,26,6,52,7,21,25,1,,5,3,,,1,,,33,3,42,2,13,53,6,9,,,1,,3,2,6,2,1,,,3,10,21,,16,9,20,12,6,,27,6,32,1,,,,89,7,,2,97,4,21,,61,17,9,16,4,41,35,8,28,15,3,6,4,24,2,18,1,,,61,50,67,1,,60,5,1,,,2,,5,1,2,,,,1,2,,,,4,,1,1,60,10,,,4,4,19,3,8,6,,1,10,18,,5,,8,,,13,53,48,44,152,41,27,23,3,56,9,45,6,6,2,16,2,16,,,,,,1,,,,,2,,14,4,8,9,59,62,3,17,71,7,16,10,3,4,,16,2,8,27,,53,10,1,37,27,10,45,6,1,33,,1,2,6,4,7,,,36,9,5,,,1,94,,,3,28,12,15,9,4,37,84,19,7,13,19,32,47,,1,65,7,,37,57,3,15,1,,11,9,87,9,9,63,,10
Acari spp.,440,280,160,520,180,260,120,820,920,120,380,180,240,2432,20,320,640,28,2240,40,220,108,336,240,28,104,430,176,80,60,40,228,328,320,44,42,372,4,160,228,5520,1120,880,2112,64,1296,368,28,8000,168,160,80,320,96,256,880,208,1600,408,832,560,48000,88,832,120,50,56,66,104,48,336,1168,432,480,1040,240,640,560,480,192,208,1840,320,48,40,228,7040,560,48,180,3,9,80,30,32,24,50,120,36,24,120,18,170,1200,300,480,1312,12480,1792,300,216,50,24,512,832,2080,2060,7520,328,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae spp.,,1,,,,,,,,,,,,3, ,1,1,,,,1,2,,,,,,9,,2,2,2,,1,,,,,,1,1,,,1,,,1,,,,1,,,,,1,,1,2,2,,,7,,,,,,2,,2,1,2,,,3,1,1,,,,,,1,,3,,,,,,1,,,,,,,,,,1,,1,,,1,,,,4,,,2,1,1,8,1,2,1,,,,,,,,,,,,,1,,1,,,,,,,,1,5,,,,1,,1,,,,3,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,,1,,,1,,3,,,2,,1,,,,,,1,5,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,2,1,,1,2,,1,,,,1,,,,,1,1,,,,,3,,,2,
Opiliones spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Oniscidea spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,
Diptera spp. juv.,1,1,,,,,,1,1,3,1,,23,16,25,30,41,111,33,63,194,15,5,45,110,7,6,262,74,11,101,262,5,1,6,,10,6,2,70,1,5,25,26,83,,225,3,,1,30,28,1,36,158,9,668,18,57,2,13,10,103,37,112,22,,,41,5,6,6,100,15,6,17,3,15,9,6,2,8,107,,3,5,3,39,1,6,1,1,1,,,,29,6,,2,,,,9,2,14,5,1,12,2,15,,,57,51,162,126,35,32,1,,1,,,,,1,,,1,,79,1,25,5,11,8,,26,,1,,2,3,1,2,1,,,,3,,,,2,,6,,,1,3,124,,183,2,,23,9,,,,1,3,2,,,,2,10,1,71,1,37,71,5,206,24,2,47,,,3,,205,2,4,7,16,4,1,19,,2,16,3,,7,3,,8,,3,1,5,,,,,7,47,2,18,,,57,,,2,87,42,1,2,48,6,15,7,7,1,1,4,69,1,10,1,18,11,17,41,45,7,7,4,18,,31,2,1,10,1,5
Diptera spp.,,1,1,1,,1,,2,2,,,,1,,,1,1,,1,,2,1,4,3,11,3,2,1,5,4,1,,,1,1,,2,1,2,2,,,3,1,,,,,1,,15,25,6,5,5,1,5,1,20,1,,,,1,,,,1,,,,1,5,4,,1,1,1,1,1,,2,1,,,,3,,,,,,2,,,1,,,,,,1,1,,1,,,1,1,,6,1,3,,1,4,2,3,,1,1,1,3,,,1,,,,,,,2,,2,,,,,,,,,,1,2,,,1,1,,1,,1,,,,,,,,,,2,3,,,,,,,,9,2,,,,,,1,,,,,,1,1,,,,,,,2,2,,,1,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,3,,,,1,1,,1,,1,1,1,,,,,,,,,,,,,,,1,,3,,2,,,,,
Aphiodoidea spp. juv. and adult,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,2,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,19,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,17,,,,,,,,,,,,,,,3,,
Coccioidea spp. juv. and adult,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heteroptera spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Heteroptera spp. juv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aucheorrhyncha spp.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
