"id","latinsknavnid","projectid","phylum","class","subclass","order","underorder","family","old_description","genus","species","species_latin","stadium","indetermined","alien","blacklist_cat","native","last_updated_by","last_updated","autorstring"
"a5159170-ea69-11e8-8186-001cc4ddf696",15229,"a5159256-ea69-11e8-8186-001cc4ddf696","","","","","","","","Supraphorura","furcifer","Supraphorura furcifer","adult",f,f,"",f,"jens.astrom","2018-11-17 14:06:49.691717",""
"b2536e70-ea69-11e8-8186-001cc4ddf696",15407,"b2536f42-ea69-11e8-8186-001cc4ddf696","","","","","","","","Isotomodes","productus","Isotomodes productus","adult",f,f,"",f,"jens.astrom","2018-11-17 14:07:11.907627",""
"35278cf8-c86b-11e8-b36f-001cc4ddf696",,"35278de8-c86b-11e8-b36f-001cc4ddf696","","","","","","","","Acrotona","sp.","Acrotona sp. C","adult",f,f,"",f,"jens.astrom","2018-10-05 08:52:35.220014",""
"d625d7de-2390-11e8-b8e2-001cc4ddf696",15311,"d625d87e-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Entognata","","Collembola","","Onychiuridae","orden Collembola (spretthaler)","Mesaphorura","krausbaueri","Mesaphorura krausbaueri","adult",f,f,"",t,"jens.astrom","2018-11-17 13:53:25.961387","Börner, 1901"
"68d64fcc-ea6b-11e8-8186-001cc4ddf696",,"68d650a8-ea6b-11e8-8186-001cc4ddf696","","","","","","","","Hemisotoma","bipunctata","Hemisotoma bipunctata","adult",f,f,"",f,"jens.astrom","2018-11-17 14:19:27.607334",""
"75ebb6fc-ea6b-11e8-8186-001cc4ddf696",15608,"75ebb7e2-ea6b-11e8-8186-001cc4ddf696","","","","","","","","Pseudosinella","alba","Pseudosinella alba","adult",f,f,"",f,"jens.astrom","2018-11-17 14:19:49.558003",""
"7e8bf2ea-ea6b-11e8-8186-001cc4ddf696",,"7e8bf3da-ea6b-11e8-8186-001cc4ddf696","","","","","","","","Arrhopalites","sp.","Arrhopalites sp. juv.","adult",f,f,"",f,"jens.astrom","2018-11-17 14:20:04.029895",""
"fd39cb64-ea6e-11e8-8186-001cc4ddf696",,"fd39cc54-ea6e-11e8-8186-001cc4ddf696","","","","","","","","Willemia","sp.","Willemia sp. juv.","adult",f,f,"",f,"jens.astrom","2018-11-17 14:45:05.052309",""
"8b0568d2-ea69-11e8-8186-001cc4ddf696",,"8b0569b8-ea69-11e8-8186-001cc4ddf696","","","","","","","","Folsomides","sp.","Folsomides sp.","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"8c2c0240-c86b-11e8-b36f-001cc4ddf696",11283,"8c2c0330-c86b-11e8-b36f-001cc4ddf696","","","","","","","","Acrotrichis","henrici","Acrotrichis henrici","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"be39632a-ea69-11e8-8186-001cc4ddf696",,"be3963fc-ea69-11e8-8186-001cc4ddf696","","","","","","","","Ballistura","schoetti","Ballistura schoetti","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"2d2efa46-ea6b-11e8-8186-001cc4ddf696",,"2d2efb22-ea6b-11e8-8186-001cc4ddf696","","","","","","","","Hypogastrura","distincta","Hypogastrura distincta","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d625476a-2390-11e8-b8e2-001cc4ddf696",,"d625480a-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Arachnida","","Araneae","","Linyphiidae","Araneae (edderkopper)","Mermessus","trilobatus/denticulatus","Mermessus trilobatus/denticulatus","adult",t,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"5e5ea062-ea6b-11e8-8186-001cc4ddf696",,"5e5ea148-ea6b-11e8-8186-001cc4ddf696","","","","","","","","Xenylla","malayana","Xenylla malayana","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d625369e-2390-11e8-b8e2-001cc4ddf696",2881,"d625373e-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Arachnida","","Araneae","","Linyphiidae","Araneae (edderkopper)","Ostearius","melanopygius","Ostearius melanopygius","adult",f,t,"PH",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d624fc92-2390-11e8-b8e2-001cc4ddf696",,"d624fd78-2390-11e8-b8e2-001cc4ddf696","Annelida","Clitelata","","Oligochaeta","","","klasse Clitellata, underklasse Oligochaeta (fåbørstemark)","Oligochaeta","spp.","Oligochaeta spp.","adult",f,f,"",f,"jens.astrom","2018-06-26 10:18:18.509006",""
"d62532f2-2390-11e8-b8e2-001cc4ddf696",,"d625339c-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Arachnida","Acari","Araneae","","","underklasse Acari (midd)","Acari","spp.","Acari spp.","adult",f,f,"",f,"jens.astrom","2018-06-26 10:18:18.509006",""
