"species_latin","latinsknavnid","order","alien","blacklist_cat"
"Acari spp.",,"Araneae",f,""
"Acrotona cf. fungi",,"Coleoptera",f,""
"Acrotona cf. negligens",,"Coleoptera",f,""
"Acrotona cf. parens",,"Coleoptera",f,""
"Acrotona exigua",11529,"Coleoptera",f,""
"Acrotona orbata",125315,"Coleoptera",f,""
"Acrotona sp. A",,"Coleoptera",f,""
"Acrotona sp. B",,"Coleoptera",f,""
"Acrotona sp. C",,"",f,""
"Acrotrichis henrici",11283,"",t,""
"Acrotrichis sp.",,"Coleoptera",f,""
"Acupalpus brunnipes",5365,"",t,""
"Acupalpus meridianus",5371,"Coleoptera",f,""
"Acupalpus parvulus",5372,"Coleoptera",f,""
"Acupalpus sp.",,"",t,""
"Adalia decempunctata",7447,"Coleoptera",f,""
"Adistemia watsoni",7881,"Coleoptera",t,"LO"
"Agathidium marginatum",11184,"Coleoptera",f,""
"Aleochara  cf. bipustulata",,"Coleoptera",f,""
"Aleocharinae sp. A",,"Coleoptera",t,""
"Aleocharinae sp. B",,"Coleoptera",t,""
"Aleocharinae sp. C",,"Coleoptera",f,""
"Aleocharinae sp. D",,"",f,""
"Aloconota gregaria",11555,"Coleoptera",f,""
"Amara aenea",5623,"Coleoptera",f,""
"Amara spreta",5664,"Coleoptera",f,""
"Amara tibialis",5666,"",f,""
"Amischa analis",11569,"Coleoptera",f,""
"Amischa bifoveolata",11571,"Coleoptera",f,""
"Amischa cf. forcipata",,"",t,""
"Amischa decipiens",11572,"Coleoptera",f,""
"Amischa nigrofusca",11573,"Coleoptera",f,""
"Anotylus nitidulus",12396,"Coleoptera",f,""
"Anotylus sp. B",,"",f,""
"Anthobium melanocephalum",12233,"Coleoptera",f,""
"Anthobium unicolor",12234,"",f,""
"Anurophorus laricis",15358,"Collembola",f,""
"Anurophorus satchelli",,"Collembola",t,""
"Aphiodoidea spp. juv. and adult",,"Hemiptera",f,""
"Aphodius prodromus",10642,"",f,""
"Aranae spp.",,"Araneae",f,""
"Arrhopalites sp. juv.",,"",f,""
"Atheta amicula",11669,"Coleoptera",f,""
"Atheta inquinula",11678,"Coleoptera",t,"LO"
"Atheta (Philhygra) sp.",,"Coleoptera",f,""
"Atheta sordidula",11646,"Coleoptera",f,""
"Atheta sp.9 (jfr. 2012)",,"",f,""
"Atheta sp. A",,"",f,""
"Atheta sp. B",,"",f,""
"Atheta (s.str.) aeneicollis",,"Coleoptera",f,""
"Atheta (s.str.) autumnalis",,"Coleoptera",f,""
"Atheta (s.str.) basicornis",,"Coleoptera",f,""
"Atomaria atricapilla",7616,"Coleoptera",f,""
"Atomaria fuscata",7621,"Coleoptera",f,""
"Atomaria fuscipes",7622,"Coleoptera",f,""
"Atomaria longicornis",7600,"",f,""
"Atomaria nigrirostris",7601,"Coleoptera",f,""
"Atomaria rhenonum",7639,"Coleoptera",f,""
"Atomaria sp.",,"",f,""
"Aucheorrhyncha spp.",,"Hemiptera",f,""
"Aucheorrhyncha spp. juv.",,"Hemiptera",f,""
"Balclutha punctata",111386,"Hemiptera",f,""
"Ballistura schoetti",,"",t,""
"Barypeithes pellucidus",8931,"Coleoptera",f,""
"Bembidion bruxellense",5744,"Coleoptera",f,""
"Bembidion quadrimaculatum",5797,"",f,""
"Bembidion tetracolum",5806,"",f,""
"Bibloplectus sp.",,"",f,""
"Bledius gallicus",12446,"Coleoptera",f,""
"Bledius opacus",12454,"Coleoptera",f,""
"Boromorphus cf. italicus",,"Coleoptera",t,"NR"
"Bourletiella sp. juv.",,"Collembola",f,""
"Brachystomella parvula",15131,"Collembola",f,""
"Bythinus burelli",,"Coleoptera",f,""
"Campylosteira serena",170119,"Hemiptera",t,"NR"
"Cantharis cryptica",10155,"Coleoptera",t,"LO"
"Carpelimus corticinus",12471,"Coleoptera",f,""
"Carpelimus rivularis",12488,"",f,""
"Carpelimus sp.",,"",f,""
"Carpelimus subtilis",12490,"",f,""
"Carpelimus tetracarinatus",,"Coleoptera",f,""
"Carpelimus zealandicus",12491,"Coleoptera",t,"PH"
"Carpelimus zealandicus juv.",12491,"Coleoptera",t,"PH"
"Cartodere bifasciata",7885,"Coleoptera",t,"LO"
"Cartodere nodifer",7886,"Coleoptera",t,"PH"
"Ceratophysella denticulata",15096,"Collembola",f,""
"Ceratophysella engadinensis",119986,"Collembola",t,"LO"
"Ceratophysella gibbosa",15099,"Collembola",t,"LO"
"Ceratophysella sp. juv.",,"Collembola",f,""
"Ceratophysella succinea",15098,"Collembola",f,""
"Ceutorhynchus hirtulus",8434,"Coleoptera",f,""
"cf. Lepisma saccharina (sølvkre)",,"Zygentoma",f,""
"Chaetocnema concinna",6755,"Coleoptera",f,""
"Chaetocnema hortensis",6757,"Coleoptera",f,""
"Chaetophora spinosa",10059,"Coleoptera",t,"NR"
"Chilopoda spp.",,"",f,""
"Cis micans",9419,"Coleoptera",f,""
"Clambus simsoni",10523,"Coleoptera",t,"LO"
"Clivina fossor",5708,"Coleoptera",f,""
"Coccinella undecimpunctata",7466,"Coleoptera",f,""
"Coccioidea spp. juv. and adult",,"Hemiptera",f,""
"Coleoptera spp. juv",,"Coleoptera",f,""
"Colon sp.",,"Coleoptera",f,""
"Corticaria cf. lapponica",,"",f,""
"Corticarina cavicollis",169210,"Coleoptera",t,"LO"
"Corticarina fuscula",14910,"Coleoptera",f,""
"Cortinicara gibbosa",7870,"Coleoptera",f,""
"Deraeocoris lutescens",109798,"",t,"SE"
"Deruterosminthurus sp. juv.",,"Collembola",f,""
"Desoria grisea",15566,"Collembola",f,""
"Desoria hiemalis",15547,"Collembola",f,""
"Desoria trispinata",15568,"Collembola",t,"LO"
"Dicyrtoma minuta",15733,"Collembola",f,""
"Dicyrtoma sp. juv.",,"Collembola",f,""
"Dienerella filiformis",7894,"",f,""
"Dienerella vincenti",7897,"",f,""
"Diplocephalus cristatus",2722,"Araneae",f,""
"Diplopoda spp.",,"",f,""
